"subject","campus[Alpha Roster for Cross Joins]","alphalevelshort","Daily XP Goal","Avg XP Earned / Student / School Day"
"Language","Alpha School Plano","L2",25,67.0526
"Language","Alpha School Plano","LL",25,56.5263
"Language","Alpha School Plano","WL",25,39.6316
"Language","Alpha School San Francisco","HS",25,25.7895
"Language","Alpha School San Francisco","L1",25,24.4421
"Language","Alpha School San Francisco","L2",25,33.5263
"Language","Alpha School San Francisco","LL",25,48.5263
"Language","Alpha School San Francisco","MS",25,30.0225
"Language","Alpha School Santa Barbara","HS",25,47.5789
"Language","Alpha School Santa Barbara","L2",25,38.2631
"Language","Alpha School Santa Barbara","MS",25,40.0526
"Language","Alpha School Scottsdale","L1",25,36.3421
"Language","Alpha School Scottsdale","L2",25,44.757
"Language","Alpha School Scottsdale","LL",25,47.4586
"Language","Alpha School Scottsdale","MS",25,29.0421
"Language","GT School","HS",25,36.5789
"Language","GT School","L1",25,19.5263
"Language","GT School","L2",25,26.6666
"Language","GT School","LL",25,35.5131
"Language","GT School","MS",25,19.3333
"Language","Montessorium Cedar Park","L1",25,26.1491
"Language","Montessorium Cedar Park","L2",25,11.6842
"Language","Montessorium Cedar Park","LL",25,29.9473
"Language","Montessorium Cedar Park","MS",25,20.3158
"Language","NextGen Academy","L1",25,39.9298
"Language","NextGen Academy","L2",25,26.7894
"Language","NextGen Academy","MS",25,19.2631
"Language","Nova Academy Austin","L1",25,55.8815
"Language","Nova Academy Austin","L2",25,22.3684
"Language","Nova Academy Austin","LL",25,31.6315
"Language","Nova Academy Austin","MS",25,30.8684
"Language","Nova Academy Bastrop","L1",25,30.035
"Language","Nova Academy Bastrop","L2",25,31.8158
"Language","Nova Academy Bastrop","LL",25,34.3158
"Language","Nova Academy Bastrop","MS",25,20.4386
"Language","Strata","HS",25,22.7286
"Language","Strata","L1",25,32.2631
"Language","Strata","L2",25,43.3281
"Language","Strata","MS",25,28.7356
"Language","Texas Sports Academy","L1",25,31.7819
"Language","Texas Sports Academy","L2",25,29.799
"Language","Texas Sports Academy","LL",25,50.0827
"Language","Texas Sports Academy","MS",25,13.621
"Language","Waypoint Academy","L1",25,31.2105
"Math","Alpha Anywhere Center","L1",25,40.6725
"Math","Alpha Anywhere Center","L2",25,25.0075
"Math","Alpha Anywhere Center","LL",25,29.6316
"Math","Alpha Anywhere Center","MS",25,59.2631
"Math","Alpha High School","HS",25,41.4548
"Math","Alpha School Austin","L1",25,32.0894
"Math","Alpha School Austin","L2",25,25.517
"Math","Alpha School Austin","LL",25,27.5348
"Math","Alpha School Austin","MS",25,31.3343
"Math","Alpha School Austin","WL",25,38.4412
"Math","Alpha School Brownsville","L1",25,27.583
"Math","Alpha School Brownsville","L2",25,27.0075
"Math","Alpha School Brownsville","LL",25,30.1184
"Math","Alpha School Brownsville","MS",25,25.5731
"Math","Alpha School Brownsville","WL",25,38.0351
"Math","Alpha School Chantilly","L1",25,32.6315
"Math","Alpha School Chantilly","MS",25,13.0526
"Math","Alpha School Fort Worth","L1",25,63.7895
"Math","Alpha School Fort Worth","L2",25,42.6842
"Math","Alpha School Fort Worth","LL",25,45.0394
"Math","Alpha School Fort Worth","MS",25,25.8596
"Math","Alpha School Lake Forest","L1",25,39.7543
"Math","Alpha School Lake Forest","L2",25,43.1052
"Math","Alpha School Lake Forest","LL",25,23.7368
"Math","Alpha School Miami","HS",25,64.5087
"Math","Alpha School Miami","L1",25,30.4493
"Math","Alpha School Miami","L2",25,34.967
"Math","Alpha School Miami","LL",25,31.1644
"Math","Alpha School Miami","MS",25,30.8245
"Math","Alpha School Palm Beach","L1",25,37.5
"Math","Alpha School Palm Beach","L2",25,33.6842
"Math","Alpha School Palm Beach","LL",25,47.1579
"Math","Alpha School Plano","L1",25,53.9474
"Math","Alpha School Plano","L2",25,78.0526
"Math","Alpha School Plano","LL",25,46.193
"Math","Alpha School Plano","WL",25,28.0526
"Math","Alpha School San Francisco","HS",25,61
"Math","Alpha School San Francisco","L1",25,24.9684
"Math","Alpha School San Francisco","L2",25,30.7368
"Math","Alpha School San Francisco","LL",25,41.2842
"Math","Alpha School San Francisco","MS",25,35.8421
"Math","Alpha School Santa Barbara","HS",25,67.1579
"Math","Alpha School Santa Barbara","L2",25,41.9473
"Math","Alpha School Santa Barbara","MS",25,40.0977
"Math","Alpha School Scottsdale","L1",25,51.1754
"Math","Alpha School Scottsdale","L2",25,43.6032
"Math","Alpha School Scottsdale","LL",25,58.4736
"Math","Alpha School Scottsdale","MS",25,23.9561
"Math","GT School","HS",25,51.4737
"Math","GT School","L1",25,23.2481
"Math","GT School","L2",25,26.1929
"Math","GT School","LL",25,49.0921
"Math","GT School","MS",25,42.9298
"Math","Montessorium Cedar Park","L1",25,23.921
"Math","Montessorium Cedar Park","L2",25,34
"Math","Montessorium Cedar Park","LL",25,27.5052
"Math","Montessorium Cedar Park","MS",25,26.9474
"Math","NextGen Academy","L1",25,56.228
"Math","NextGen Academy","L2",25,29.2842
"Math","NextGen Academy","MS",25,19.7894
"Math","Nova Academy Austin","L1",25,35.6124
"Math","Nova Academy Austin","L2",25,22.8157
"Math","Nova Academy Austin","LL",25,40.5614
"Math","Nova Academy Austin","MS",25,32.1053
"Math","Nova Academy Bastrop","L1",25,23.3421
"Math","Nova Academy Bastrop","L2",25,23.7237
"Math","Nova Academy Bastrop","LL",25,21.9474
"Math","Nova Academy Bastrop","MS",25,35.6315
"Math","ScienceSIS","L1",25,13.1578
"Math","ScienceSIS","L2",25,10.4674
"Math","ScienceSIS","MS",25,9.421
"Math","Strata","HS",25,34.4596
"Math","Strata","L1",25,54.0877
"Math","Strata","L2",25,51.0723
"Math","Strata","MS",25,36.2115
"Math","Texas Sports Academy","L1",25,47.3007
"Math","Texas Sports Academy","L2",25,36.5167
"Math","Texas Sports Academy","LL",25,25.7593
"Math","Texas Sports Academy","MS",25,27.7315
"Math","Waypoint Academy","L1",25,27.2632
"Reading","Alpha Anywhere Center","L1",25,28.4342
"Reading","Alpha Anywhere Center","L2",25,26.9699
"Reading","Alpha Anywhere Center","LL",25,31.2631
"Reading","Alpha Anywhere Center","MS",25,38.4736
"Reading","Alpha High School","HS",25,13.6722
"Reading","Alpha School Austin","L1",25,30.6947
"Reading","Alpha School Austin","L2",25,30.5108
"Reading","Alpha School Austin","LL",25,26.5423
"Reading","Alpha School Austin","MS",25,25.7164
"Reading","Alpha School Austin","WL",25,33.0157
"Reading","Alpha School Brownsville","L1",25,20.0364
"Reading","Alpha School Brownsville","L2",25,31.5263
"Reading","Alpha School Brownsville","LL",25,27.5394
"Reading","Alpha School Brownsville","MS",25,26.3508
"Reading","Alpha School Brownsville","WL",25,38.8947
"Reading","Alpha School Chantilly","L1",25,25.193
"Reading","Alpha School Chantilly","MS",25,18.0526
"Reading","Alpha School Fort Worth","L1",25,48.6842
"Reading","Alpha School Fort Worth","L2",25,24.5
"Reading","Alpha School Fort Worth","LL",25,34.2368
"Reading","Alpha School Fort Worth","MS",25,36.0526
"Reading","Alpha School Lake Forest","L1",25,36.1895
"Reading","Alpha School Lake Forest","L2",25,44.9824
"Reading","Alpha School Lake Forest","LL",25,47.1579
"Reading","Alpha School Miami","HS",25,20.8187
"Reading","Alpha School Miami","L1",25,29.7004
"Reading","Alpha School Miami","L2",25,32.6677
"Reading","Alpha School Miami","LL",25,36.0877
"Reading","Alpha School Miami","MS",25,30.7966
"Reading","Alpha School Palm Beach","L1",25,26.8421
"Reading","Alpha School Palm Beach","L2",25,37.6842
"Reading","Alpha School Palm Beach","LL",25,75.421
"Reading","Alpha School Plano","L1",25,42.7368
"Reading","Alpha School Plano","L2",25,50.9474
"Reading","Alpha School Plano","LL",25,33.5614
"Reading","Alpha School San Francisco","L1",25,43.9737
"Reading","Alpha School San Francisco","L2",25,29.8947
"Reading","Alpha School San Francisco","LL",25,39.5526
"Reading","Alpha School San Francisco","MS",25,26.1503
"Reading","Alpha School Santa Barbara","HS",25,71.8947
"Reading","Alpha School Santa Barbara","L2",25,42
"Reading","Alpha School Santa Barbara","MS",25,48.9248
"Reading","Alpha School Scottsdale","L1",25,29.807
"Reading","Alpha School Scottsdale","L2",25,31.8663
"Reading","Alpha School Scottsdale","LL",25,23.1754
"Reading","Alpha School Scottsdale","MS",25,32.7456
"Reading","GT School","L1",25,27.9248
"Reading","GT School","L2",25,33.6052
"Reading","GT School","LL",25,68.8684
"Reading","GT School","MS",25,33.421
"Reading","Montessorium Cedar Park","L1",25,27.035
"Reading","Montessorium Cedar Park","L2",25,28.1053
"Reading","Montessorium Cedar Park","LL",25,21.296
"Reading","Montessorium Cedar Park","MS",25,21.4211
"Reading","NextGen Academy","L1",25,27.5789
"Reading","NextGen Academy","L2",25,29.421
"Reading","NextGen Academy","MS",25,31.6052
"Reading","Nova Academy Austin","L1",25,46.4162
"Reading","Nova Academy Austin","L2",25,17.421
"Reading","Nova Academy Austin","LL",25,42.6491
"Reading","Nova Academy Austin","MS",25,33.1842
"Reading","Nova Academy Bastrop","L1",25,23.0175
"Reading","Nova Academy Bastrop","L2",25,19.0526
"Reading","Nova Academy Bastrop","LL",25,32.2631
"Reading","Nova Academy Bastrop","MS",25,29.9649
"Reading","Strata","HS",25,47.218
"Reading","Strata","L1",25,27.3157
"Reading","Strata","L2",25,37.0596
"Reading","Strata","MS",25,30.8363
"Reading","Texas Sports Academy","L1",25,21.4661
"Reading","Texas Sports Academy","L2",25,22.9425
"Reading","Texas Sports Academy","LL",25,23.4342
"Reading","Texas Sports Academy","MS",25,39.7485
"Reading","Waypoint Academy","L1",25,24.2105
"Science","Alpha Anywhere Center","L1",12.5,6.2368
"Science","Alpha Anywhere Center","L2",12.5,15.6526
"Science","Alpha Anywhere Center","MS",12.5,22.797
"Science","Alpha High School","HS",12.5,47.0202
"Science","Alpha School Austin","L1",12.5,13.4444
"Science","Alpha School Austin","L2",12.5,17.222
"Science","Alpha School Austin","MS",12.5,20.9994
"Science","Alpha School Brownsville","L1",12.5,10.4342
"Science","Alpha School Brownsville","L2",12.5,14.5564
"Science","Alpha School Brownsville","MS",12.5,13.8128
"Science","Alpha School Chantilly","L1",12.5,2.7368
"Science","Alpha School Chantilly","MS",12.5,13
"Science","Alpha School Fort Worth","L2",12.5,3.7368
"Science","Alpha School Fort Worth","MS",12.5,25.8947
"Science","Alpha School Lake Forest","L1",12.5,7.1579
"Science","Alpha School Lake Forest","L2",12.5,16.4211
"Science","Alpha School Miami","HS",12.5,74.6315
"Science","Alpha School Miami","L1",12.5,25.3815
"Science","Alpha School Miami","L2",12.5,15.0701
"Science","Alpha School Miami","MS",12.5,17.0131
"Science","Alpha School Palm Beach","L2",12.5,6.8421
"Science","Alpha School San Francisco","HS",12.5,33.1053
"Science","Alpha School San Francisco","L1",12.5,9.3509
"Science","Alpha School San Francisco","L2",12.5,14.2632
"Science","Alpha School San Francisco","MS",12.5,13.7218
"Science","Alpha School Santa Barbara","HS",12.5,18.8947
"Science","Alpha School Santa Barbara","MS",12.5,17.5
"Science","Alpha School Scottsdale","L1",12.5,28.0526
"Science","Alpha School Scottsdale","L2",12.5,27.2105
"Science","Alpha School Scottsdale","MS",12.5,16.5579
"Science","GT School","HS",12.5,5.9474
"Science","GT School","L1",12.5,7.2236
"Science","GT School","L2",12.5,14.7894
"Science","GT School","MS",12.5,31.8772
"Science","Montessorium Cedar Park","L1",12.5,3.4211
"Science","Montessorium Cedar Park","L2",12.5,28.7368
"Science","Montessorium Cedar Park","MS",12.5,34.5789
"Science","NextGen Academy","L1",12.5,28.0526
"Science","NextGen Academy","L2",12.5,19.807
"Science","NextGen Academy","MS",12.5,9.5
"Science","Nova Academy Bastrop","L1",12.5,23.0526
"Science","Nova Academy Bastrop","L2",12.5,15.1315
"Science","Nova Academy Bastrop","MS",12.5,18.0526
"Science","Strata","HS",12.5,18.6622
"Science","Strata","L2",12.5,27.9737
"Science","Strata","MS",12.5,18.2084
"Science","Texas Sports Academy","L1",12.5,10.6842
"Science","Texas Sports Academy","L2",12.5,27.0986
"Science","Texas Sports Academy","MS",12.5,25.9181
"Vocabulary","Alpha Anywhere Center","L1",10,12.7894
"Vocabulary","Alpha Anywhere Center","L2",10,13.386
"Vocabulary","Alpha Anywhere Center","MS",10,28.133
"Vocabulary","Alpha High School","HS",10,7.4219
"Vocabulary","Alpha School Austin","L1",10,12.8978
"Vocabulary","Alpha School Austin","L2",10,15.3709
"Vocabulary","Alpha School Austin","LL",10,7.6052
"Vocabulary","Alpha School Austin","MS",10,17.8477
"Vocabulary","Alpha School Brownsville","L1",10,8.0164
"Vocabulary","Alpha School Brownsville","L2",10,13.7893
"Vocabulary","Alpha School Brownsville","MS",10,15.5254
"Vocabulary","Alpha School Chantilly","L1",10,16.2105
"Vocabulary","Alpha School Chantilly","MS",10,4.7368
"Vocabulary","Alpha School Fort Worth","L1",10,3.9474
"Vocabulary","Alpha School Fort Worth","L2",10,25.7123
"Vocabulary","Alpha School Fort Worth","LL",10,43.1579
"Vocabulary","Alpha School Fort Worth","MS",10,21.9352
"Vocabulary","Alpha School Lake Forest","L1",10,28.1316
"Vocabulary","Alpha School Lake Forest","L2",10,47.1579
"Vocabulary","Alpha School Miami","HS",10,6.4066
"Vocabulary","Alpha School Miami","L1",10,15.9707
"Vocabulary","Alpha School Miami","L2",10,16.4034
"Vocabulary","Alpha School Miami","MS",10,17.0946
"Vocabulary","Alpha School Palm Beach","L1",10,11.1579
"Vocabulary","Alpha School Palm Beach","L2",10,7.1053
"Vocabulary","Alpha School Palm Beach","LL",10,16.2632
"Vocabulary","Alpha School Plano","L1",10,14.2105
"Vocabulary","Alpha School San Francisco","L1",10,28.9276
"Vocabulary","Alpha School San Francisco","L2",10,39.9474
"Vocabulary","Alpha School San Francisco","LL",10,33.1579
"Vocabulary","Alpha School San Francisco","MS",10,26.263
"Vocabulary","Alpha School Santa Barbara","HS",10,26.8421
"Vocabulary","Alpha School Santa Barbara","L2",10,14.4232
"Vocabulary","Alpha School Santa Barbara","MS",10,21.9541
"Vocabulary","Alpha School Scottsdale","L1",10,17.4407
"Vocabulary","Alpha School Scottsdale","L2",10,16.5231
"Vocabulary","Alpha School Scottsdale","MS",10,55.03
"Vocabulary","GT School","HS",10,32.7937
"Vocabulary","GT School","L1",10,20.2669
"Vocabulary","GT School","L2",10,17.9801
"Vocabulary","GT School","MS",10,17.0384
"Vocabulary","Montessorium Cedar Park","L1",10,11.5616
"Vocabulary","Montessorium Cedar Park","L2",10,11.1316
"Vocabulary","Montessorium Cedar Park","LL",10,11.4605
"Vocabulary","Montessorium Cedar Park","MS",10,11.1579
"Vocabulary","NextGen Academy","L1",10,21.9474
"Vocabulary","NextGen Academy","L2",10,15.1907
"Vocabulary","NextGen Academy","MS",10,13.1752
"Vocabulary","Nova Academy Austin","L2",10,13.6447
"Vocabulary","Nova Academy Austin","MS",10,17.7631
"Vocabulary","Nova Academy Bastrop","L1",10,17.0263
"Vocabulary","Nova Academy Bastrop","L2",10,12.6447
"Vocabulary","Nova Academy Bastrop","LL",10,12.8158
"Vocabulary","Nova Academy Bastrop","MS",10,18.8554
"Vocabulary","Strata","HS",10,13.877
"Vocabulary","Strata","L2",10,20.3859
"Vocabulary","Strata","MS",10,14.0289
"Vocabulary","Texas Sports Academy","L1",10,6.1052
"Vocabulary","Texas Sports Academy","L2",10,20.4157
"Vocabulary","Texas Sports Academy","MS",10,13.3736
"Vocabulary","Waypoint Academy","L1",10,13.3947
"Writing","Alpha Anywhere Center","L1",12.5,6.6942
"Writing","Alpha Anywhere Center","L2",12.5,11.7239
"Writing","Alpha Anywhere Center","MS",12.5,15.9147
"Writing","Alpha High School","HS",12.5,33.9709
"Writing","Alpha School Austin","L1",12.5,7.4803
"Writing","Alpha School Austin","L2",12.5,7.5407
"Writing","Alpha School Austin","MS",12.5,17.1385
"Writing","Alpha School Brownsville","L1",12.5,0
"Writing","Alpha School Brownsville","L2",12.5,11.4642
"Writing","Alpha School Brownsville","MS",12.5,10.1712
"Writing","Alpha School Chantilly","MS",12.5,14.0132
"Writing","Alpha School Fort Worth","L2",12.5,0
"Writing","Alpha School Fort Worth","MS",12.5,11.4473
"Writing","Alpha School Lake Forest","L1",12.5,7.5987
"Writing","Alpha School Lake Forest","L2",12.5,17.0242
"Writing","Alpha School Miami","HS",12.5,89.8905
"Writing","Alpha School Miami","L2",12.5,10.0056
"Writing","Alpha School Miami","MS",12.5,10.6496
"Writing","Alpha School Palm Beach","L1",12.5,9.9342
"Writing","Alpha School Palm Beach","L2",12.5,14.1447
"Writing","Alpha School Palm Beach","LL",12.5,9.9342
"Writing","Alpha School San Francisco","L1",12.5,11.9032
"Writing","Alpha School San Francisco","L2",12.5,24.4737
"Writing","Alpha School San Francisco","MS",12.5,16.0001
"Writing","Alpha School Santa Barbara","HS",12.5,22.1074
"Writing","Alpha School Santa Barbara","L2",12.5,12.0395
"Writing","Alpha School Santa Barbara","MS",12.5,31.4643
"Writing","Alpha School Scottsdale","L1",12.5,2.27
"Writing","Alpha School Scottsdale","L2",12.5,12.1015
"Writing","Alpha School Scottsdale","MS",12.5,37.1331
"Writing","GT School","L1",12.5,7.9935
"Writing","GT School","L2",12.5,15.8888
"Writing","GT School","MS",12.5,10.0658
"Writing","Montessorium Cedar Park","L1",12.5,4.5395
"Writing","NextGen Academy","L2",12.5,17.1493
"Writing","NextGen Academy","MS",12.5,16.6781
"Writing","Nova Academy Bastrop","L1",12.5,11.7437
"Writing","Nova Academy Bastrop","L2",12.5,11.0526
"Writing","Nova Academy Bastrop","MS",12.5,19.0955
"Writing","Strata","HS",12.5,13.0075
"Writing","Strata","L2",12.5,7.3151
"Writing","Strata","MS",12.5,13.061
"Writing","Texas Sports Academy","L1",12.5,2.171
"Writing","Texas Sports Academy","L2",12.5,3.6218
"Writing","Texas Sports Academy","MS",12.5,18.0921
