"subject","campus[Alpha Roster for Cross Joins]","alphalevelshort","Daily XP Goal","Avg XP Earned / Student / School Day"
"Language","Alpha School San Francisco","L1",25,20.4
"Language","Alpha School San Francisco","L2",25,28
"Language","Alpha School San Francisco","LL",25,37.8
"Language","Alpha School San Francisco","MS",25,23.4285
"Language","Alpha School Santa Barbara","HS",25,17
"Language","Alpha School Santa Barbara","L2",25,12
"Language","Alpha School Santa Barbara","MS",25,19.5714
"Language","Alpha School Scottsdale","L1",25,15
"Language","Alpha School Scottsdale","L2",25,21.6923
"Language","Alpha School Scottsdale","LL",25,28.8571
"Language","Alpha School Scottsdale","MS",25,12.4
"Language","GT School","HS",25,0
"Language","GT School","L1",25,13
"Language","GT School","L2",25,29
"Language","GT School","LL",25,32.25
"Language","GT School","MS",25,44
"Language","Montessorium Cedar Park","L1",25,47.1666
"Language","Montessorium Cedar Park","L2",25,7
"Language","Montessorium Cedar Park","LL",25,33.7777
"Language","Montessorium Cedar Park","MS",25,0
"Language","NextGen Academy","L1",25,11.6666
"Language","NextGen Academy","L2",25,16
"Language","NextGen Academy","MS",25,0
"Language","Nova Academy Austin","L1",25,35.125
"Language","Nova Academy Austin","L2",25,13
"Language","Nova Academy Austin","LL",25,37
"Language","Nova Academy Austin","MS",25,73
"Language","Nova Academy Bastrop","L1",25,24.3333
"Language","Nova Academy Bastrop","L2",25,17
"Language","Nova Academy Bastrop","LL",25,26
"Language","Nova Academy Bastrop","MS",25,10
"Language","Strata","HS",25,16.1875
"Language","Strata","L1",25,25
"Language","Strata","L2",25,30.647
"Language","Strata","MS",25,32.3333
"Language","Texas Sports Academy","L1",25,33
"Language","Texas Sports Academy","L2",25,10
"Language","Texas Sports Academy","LL",25,37
"Language","Texas Sports Academy","MS",25,8.6
"Language","Waypoint Academy","L1",25,21
"Math","Alpha Anywhere Center","L1",25,34.3333
"Math","Alpha Anywhere Center","L2",25,21.7142
"Math","Alpha Anywhere Center","LL",25,16.25
"Math","Alpha Anywhere Center","MS",25,34.7142
"Math","Alpha High School","HS",25,38.8113
"Math","Alpha School Austin","L1",25,21.8
"Math","Alpha School Austin","L2",25,7.5882
"Math","Alpha School Austin","LL",25,30.9032
"Math","Alpha School Austin","MS",25,7.5294
"Math","Alpha School Austin","WL",25,28.6923
"Math","Alpha School Brownsville","L1",25,26.1538
"Math","Alpha School Brownsville","L2",25,44
"Math","Alpha School Brownsville","LL",25,23.4166
"Math","Alpha School Brownsville","MS",25,16.5555
"Math","Alpha School Brownsville","WL",25,16.3333
"Math","Alpha School Chantilly","L1",25,35
"Math","Alpha School Chantilly","MS",25,0
"Math","Alpha School Fort Worth","L1",25,40
"Math","Alpha School Fort Worth","L2",25,46
"Math","Alpha School Fort Worth","LL",25,20
"Math","Alpha School Fort Worth","MS",25,15.3333
"Math","Alpha School Lake Forest","L1",25,17.8333
"Math","Alpha School Lake Forest","L2",25,20
"Math","Alpha School Lake Forest","LL",25,18.3333
"Math","Alpha School Miami","HS",25,8.1111
"Math","Alpha School Miami","L1",25,19.2307
"Math","Alpha School Miami","L2",25,20.4375
"Math","Alpha School Miami","LL",25,21.375
"Math","Alpha School Miami","MS",25,25.4761
"Math","Alpha School Palm Beach","L1",25,40
"Math","Alpha School Palm Beach","L2",25,40
"Math","Alpha School Palm Beach","LL",25,22
"Math","Alpha School Plano","L1",25,29
"Math","Alpha School Plano","L2",25,28
"Math","Alpha School Plano","LL",25,18
